67:180,133,210,150,90,133,210,150,90,127,188,165,180,127,82,165,
68:180,133,210,149,90,133,210,149,90,127,187,166,180,127,83,166,
69:180,133,211,149,90,133,211,149,90,126,187,166,180,126,83,166,
70:180,133,211,148,90,133,211,148,90,126,186,167,180,126,84,167,
71:180,133,212,148,90,133,212,148,90,126,185,167,180,126,85,167,
72:180,133,212,147,90,133,212,147,90,125,184,168,180,125,86,168,
73:180,133,213,147,90,133,213,147,90,125,183,169,180,125,87,169,
74:180,133,213,147,90,133,213,147,90,125,182,169,180,125,88,169,
75:180,134,214,146,90,134,214,146,90,125,181,170,180,125,89,170,
76:180,134,214,146,90,134,214,146,90,124,180,170,180,124,90,170,
77:180,134,215,145,90,134,215,145,90,124,179,171,180,124,91,171,
78:180,134,215,145,90,134,215,145,90,123,178,171,180,123,92,171,
79:180,134,216,144,90,134,216,144,90,123,178,172,180,123,92,172,
80:180,134,216,144,90,134,216,144,90,123,176,173,180,123,94,173,
81:180,134,217,144,90,134,217,144,90,122,175,173,180,122,95,173,
82:180,134,217,143,90,134,217,143,90,122,174,174,180,122,96,174,
83:180,134,218,143,90,134,218,143,90,121,173,175,180,121,97,175,
84:180,134,218,142,90,134,218,142,90,121,172,175,180,121,98,175,
85:180,134,219,142,90,134,219,142,90,121,171,176,180,121,99,176,
86:180,134,219,141,90,134,219,141,90,120,170,177,180,120,100,177,
87:180,134,220,141,90,134,220,141,90,120,169,178,180,120,101,178,
88:180,134,220,141,90,134,220,141,90,119,167,178,180,119,103,178,
89:180,134,221,140,90,134,221,140,90,118,166,179,180,118,104,179,
90:180,134,221,140,90,134,221,140,90,118,164,180,180,118,106,180,
91:180,134,222,139,90,134,222,139,90,117,163,181,180,117,107,181,
92:180,134,222,139,90,134,222,139,90,117,161,182,180,117,109,182,
93:180,134,222,138,90,134,222,138,90,116,160,183,180,116,110,183,
94:180,134,223,138,90,134,223,138,90,115,158,184,180,115,112,184,
95:180,134,223,138,90,134,223,138,90,114,156,185,180,114,114,185,
96:180,134,224,137,90,134,224,137,90,113,154,186,180,113,116,186,
97:180,134,224,137,90,134,224,137,90,112,151,187,180,112,119,187,
98:180,134,225,136,90,134,225,136,90,111,148,189,180,111,122,189,
99:180,134,225,136,90,134,225,136,90,109,145,191,180,109,125,191,
100:180,135,225,135,90,135,225,135,90,105,136,195,180,105,134,195,
